"id","title","description","release_year","age_certification","runtime","genres","production_country","seasons"
0,"bonding","Maxime alias placeat. Aut minima error mollitia aspernatur unde. Incidunt explicabo quae beatae cumque atque vitae error minima.",2023,"GP",38,"[""Reggae"",""Rock""]","TC",""
1,"gossip","Doloribus consequatur explicabo at aliquid error quae. Minus deleniti libero dolorem debitis voluptas. A labore temporibus est animi natus iste explicabo.",2023,"X18",130,"[""Electronic"",""Latin""]","SK",2
2,"reinscription","Cupiditate fugiat aperiam enim. Perspiciatis commodi minima saepe ex nulla quidem quo aut. Recusandae repellendus pariatur vel consectetur at.",2023,"TV-14",132,"[""World"",""Metal""]","NU",5
3,"polyp","Et numquam error odit. Dignissimos tempore laboriosam ipsa earum. Excepturi tempore facere eveniet unde eligendi sit.",2022,"U/A",37,"[""World"",""Reggae""]","OM",8
4,"spray","Illum adipisci repellendus possimus ab officia. Nulla quo voluptas quia excepturi repellat totam aliquam. Dicta molestiae minima esse veritatis impedit id doloribus repudiandae sapiente.",2023,"GP",162,"[""Funk"",""Pop""]","BA",6
5,"try","Pariatur excepturi ex debitis illum saepe. Facilis dolorem minus earum assumenda temporibus recusandae. Neque facere tempora odio omnis deleniti repellat dolorum.",2022,"U",58,"[""Blues"",""Blues""]","PR",4
6,"cohesion","Velit voluptatum quas hic pariatur quos possimus ab. At illum saepe facilis natus nobis inventore ex consequatur. Quos quae magnam atque laboriosam.",2023,"18",153,"[""Blues"",""Reggae""]","KW",7
7,"businessman","Totam illo aliquid sint recusandae quaerat optio consequatur id. Reprehenderit temporibus quas ad consequuntur eum error quis. Officia laboriosam deserunt quisquam nihil.",2022,"18",76,"[""Rap"",""World""]","PE",""
8,"warning","Illum excepturi itaque pariatur ullam quia. Debitis quo nihil in. Harum assumenda debitis eveniet necessitatibus neque ab deserunt dolore.",2022,"X18",150,"[""Non Music"",""Classical""]","LB",2
9,"melody","Asperiores quis quam saepe dolores cum minus. Nostrum illum consequuntur vitae ad. Mollitia expedita voluptas ducimus earum expedita.",2023,"A",126,"[""Reggae"",""Blues""]","MF",""
10,"subsidence","Voluptatem ipsa eius voluptatem harum similique. Asperiores facilis molestiae ratione dolorum a neque tenetur nam quas. Exercitationem accusantium recusandae dolorum hic odio odit.",2023,"U",34,"[""Soul"",""Blues""]","TG",""
11,"tactics","Quidem ipsa alias voluptatibus adipisci et nemo possimus fugit eligendi. Sunt deleniti beatae numquam. Blanditiis fugit a quasi.",2022,"TV-Y",183,"[""Classical"",""Country""]","JE",""
12,"scissors","Vitae tempore iure dolores reiciendis pariatur. Eveniet velit odio repellat dolorem quidem cumque dignissimos. Porro ipsum ex deserunt optio quam.",2023,"M",166,"[""Folk"",""Soul""]","CL",8
